Date,VisitorNeutral,HomeNeutral,deltaOEFF,deltaDEFF,Y
2014,Chicago,Washington,3.5,4.2,FALSE
2014,Houston,Portland,0.5,1.10000000000001,FALSE
2014,Indiana,Atlanta,1.80000000000001,7,FALSE
2014,San Antonio,Dallas,0.799999999999997,6.3,TRUE
2014,Miami,Charlotte,-7.40000000000001,-2,FALSE
2014,Oklahoma City,Memphis,-4.2,0.699999999999989,FALSE
2014,Chicago,Washington,3.5,4.2,TRUE
2014,LA Clippers,Golden State,-4.5,-2.2,TRUE
2014,Toronto,Brooklyn,-2.09999999999999,2.40000000000001,FALSE
2014,Houston,Portland,0.5,1.10000000000001,TRUE
2014,Miami,Charlotte,-7.40000000000001,-2,FALSE
2014,Atlanta,Indiana,-1.80000000000001,-7,FALSE
2014,San Antonio,Dallas,0.799999999999997,6.3,FALSE
2014,Washington,Chicago,-3.5,-4.2,FALSE
2014,Memphis,Oklahoma City,4.2,-0.699999999999989,FALSE
2014,Golden State,LA Clippers,4.5,2.2,TRUE
2014,Dallas,San Antonio,-0.799999999999997,-6.3,TRUE
2014,Brooklyn,Toronto,2.09999999999999,-2.40000000000001,TRUE
2014,Portland,Houston,-0.5,-1.10000000000001,TRUE
2014,Indiana,Atlanta,1.80000000000001,7,FALSE
2014,Oklahoma City,Memphis,-4.2,0.699999999999989,FALSE
2014,LA Clippers,Golden State,-4.5,-2.2,TRUE
2014,Toronto,Brooklyn,-2.09999999999999,2.40000000000001,TRUE
2014,San Antonio,Dallas,0.799999999999997,6.3,TRUE
2014,Houston,Portland,0.5,1.10000000000001,TRUE
2014,Atlanta,Indiana,-1.80000000000001,-7,TRUE
2014,Memphis,Oklahoma City,4.2,-0.699999999999989,TRUE
2014,Golden State,LA Clippers,4.5,2.2,TRUE
2014,Brooklyn,Toronto,2.09999999999999,-2.40000000000001,FALSE
2014,Dallas,San Antonio,-0.799999999999997,-6.3,TRUE
2014,Washington,Indiana,-1.90000000000001,-5.3,FALSE
2014,LA Clippers,Oklahoma City,-1.59999999999999,-0.899999999999992,FALSE
2014,Brooklyn,Miami,4.3,-1.90000000000001,TRUE
2014,Portland,San Antonio,-1,-5,TRUE
2014,Washington,Indiana,-1.90000000000001,-5.3,TRUE
2014,LA Clippers,Oklahoma City,-1.59999999999999,-0.899999999999992,TRUE
2014,Brooklyn,Miami,4.3,-1.90000000000001,TRUE
2014,Portland,San Antonio,-1,-5,TRUE
2014,Indiana,Washington,1.90000000000001,5.3,FALSE
2014,Oklahoma City,LA Clippers,1.59999999999999,0.899999999999992,FALSE
2014,Miami,Brooklyn,-4.3,1.90000000000001,TRUE
2014,San Antonio,Portland,1,5,FALSE
2014,Oklahoma City,LA Clippers,1.59999999999999,0.899999999999992,TRUE
2014,Indiana,Washington,1.90000000000001,5.3,FALSE
2014,Miami,Brooklyn,-4.3,1.90000000000001,FALSE
2014,San Antonio,Portland,1,5,TRUE
2014,Washington,Indiana,-1.90000000000001,-5.3,FALSE
2014,LA Clippers,Oklahoma City,-1.59999999999999,-0.899999999999992,TRUE
2014,Brooklyn,Miami,4.3,-1.90000000000001,TRUE
2014,Portland,San Antonio,-1,-5,TRUE
2014,Indiana,Washington,1.90000000000001,5.3,FALSE
2014,Oklahoma City,LA Clippers,1.59999999999999,0.899999999999992,FALSE
2014,Miami,Indiana,-6.90000000000001,-6.39999999999999,TRUE
2014,Oklahoma City,San Antonio,0,-1.5,TRUE
2014,Miami,Indiana,-6.90000000000001,-6.39999999999999,FALSE
2014,Oklahoma City,San Antonio,0,-1.5,TRUE
2014,Indiana,Miami,6.90000000000001,6.39999999999999,TRUE
2014,San Antonio,Oklahoma City,0,1.5,TRUE
2014,Indiana,Miami,6.90000000000001,6.39999999999999,TRUE
2014,San Antonio,Oklahoma City,0,1.5,TRUE
2014,Miami,Indiana,-6.90000000000001,-6.39999999999999,TRUE
2014,Oklahoma City,San Antonio,0,-1.5,TRUE
2014,Indiana,Miami,6.90000000000001,6.39999999999999,TRUE
